Adult Stages/Adult Hypnogram (973 events)						
						
-------------------------------------------------------------------------------------						
#	Segment	Epoch	Start Time (s)	Duration (s)	Interval (s)	Event
			0	"1.000,"	"30.000,"	0
"1, "	"1, "	"1, "	"15.000,"	"1.000,"	"30.000,"	0
"2, "	"1, "	"2, "	"45.000,"	"1.000,"	"30.000,"	0
"3, "	"1, "	"3, "	"75.000,"	"1.000,"	"30.000,"	0
"4, "	"1, "	"4, "	"105.000,"	"1.000,"	"30.000,"	0
"5, "	"1, "	"5, "	"135.000,"	"1.000,"	"30.000,"	0
"6, "	"1, "	"6, "	"165.000,"	"1.000,"	"30.000,"	0
"7, "	"1, "	"7, "	"195.000,"	"1.000,"	"30.000,"	0
"8, "	"1, "	"8, "	"225.000,"	"1.000,"	"30.000,"	0
"9, "	"1, "	"9, "	"255.000,"	"1.000,"	"30.000,"	0
"10, "	"1, "	"10, "	"285.000,"	"1.000,"	"30.000,"	0
"11, "	"1, "	"11, "	"315.000,"	"1.000,"	"30.000,"	0
"12, "	"1, "	"12, "	"345.000,"	"1.000,"	"30.000,"	0
"13, "	"1, "	"13, "	"375.000,"	"1.000,"	"30.000,"	0
"14, "	"1, "	"14, "	"405.000,"	"1.000,"	"30.000,"	0
"15, "	"1, "	"15, "	"435.000,"	"1.000,"	"30.000,"	0
"16, "	"1, "	"16, "	"465.000,"	"1.000,"	"30.000,"	0
"17, "	"1, "	"17, "	"495.000,"	"1.000,"	"30.000,"	0
"18, "	"1, "	"18, "	"525.000,"	"1.000,"	"30.000,"	0
"19, "	"1, "	"19, "	"555.000,"	"1.000,"	"30.000,"	0
"20, "	"1, "	"20, "	"585.000,"	"1.000,"	"30.000,"	0
"21, "	"1, "	"21, "	"615.000,"	"1.000,"	"30.000,"	0
"22, "	"1, "	"22, "	"645.000,"	"1.000,"	"30.000,"	0
"23, "	"1, "	"23, "	"675.000,"	"1.000,"	"30.000,"	0
"24, "	"1, "	"24, "	"705.000,"	"1.000,"	"30.000,"	0
"25, "	"1, "	"25, "	"735.000,"	"1.000,"	"30.000,"	0
"26, "	"1, "	"26, "	"765.000,"	"1.000,"	"30.000,"	0
"27, "	"1, "	"27, "	"795.000,"	"1.000,"	"30.000,"	0
"28, "	"1, "	"28, "	"825.000,"	"1.000,"	"30.000,"	0
"29, "	"1, "	"29, "	"855.000,"	"1.000,"	"30.000,"	0
"30, "	"1, "	"30, "	"885.000,"	"1.000,"	"30.000,"	0
"31, "	"1, "	"31, "	"915.000,"	"1.000,"	"30.000,"	0
"32, "	"1, "	"32, "	"945.000,"	"1.000,"	"30.000,"	0
"33, "	"1, "	"33, "	"975.000,"	"1.000,"	"30.000,"	0
"34, "	"1, "	"34, "	"1005.000,"	"1.000,"	"30.000,"	0
"35, "	"1, "	"35, "	"1035.000,"	"1.000,"	"30.000,"	0
"36, "	"1, "	"36, "	"1065.000,"	"1.000,"	"30.000,"	1
"37, "	"1, "	"37, "	"1095.000,"	"1.000,"	"30.000,"	1
"38, "	"1, "	"38, "	"1125.000,"	"1.000,"	"30.000,"	1
"39, "	"1, "	"39, "	"1155.000,"	"1.000,"	"30.000,"	1
"40, "	"1, "	"40, "	"1185.000,"	"1.000,"	"30.000,"	2
"41, "	"1, "	"41, "	"1215.000,"	"1.000,"	"30.000,"	2
"42, "	"1, "	"42, "	"1245.000,"	"1.000,"	"30.000,"	2
"43, "	"1, "	"43, "	"1275.000,"	"1.000,"	"30.000,"	2
"44, "	"1, "	"44, "	"1305.000,"	"1.000,"	"30.000,"	2
"45, "	"1, "	"45, "	"1335.000,"	"1.000,"	"30.000,"	2
"46, "	"1, "	"46, "	"1365.000,"	"1.000,"	"30.000,"	2
"47, "	"1, "	"47, "	"1395.000,"	"1.000,"	"30.000,"	2
"48, "	"1, "	"48, "	"1425.000,"	"1.000,"	"30.000,"	2
"49, "	"1, "	"49, "	"1455.000,"	"1.000,"	"30.000,"	2
"50, "	"1, "	"50, "	"1485.000,"	"1.000,"	"30.000,"	2
"51, "	"1, "	"51, "	"1515.000,"	"1.000,"	"30.000,"	0
"52, "	"1, "	"52, "	"1545.000,"	"1.000,"	"30.000,"	0
"53, "	"1, "	"53, "	"1575.000,"	"1.000,"	"30.000,"	0
"54, "	"1, "	"54, "	"1605.000,"	"1.000,"	"30.000,"	0
"55, "	"1, "	"55, "	"1635.000,"	"1.000,"	"30.000,"	0
"56, "	"1, "	"56, "	"1665.000,"	"1.000,"	"30.000,"	1
"57, "	"1, "	"57, "	"1695.000,"	"1.000,"	"30.000,"	1
"58, "	"1, "	"58, "	"1725.000,"	"1.000,"	"30.000,"	1
"59, "	"1, "	"59, "	"1755.000,"	"1.000,"	"30.000,"	1
"60, "	"1, "	"60, "	"1785.000,"	"1.000,"	"30.000,"	1
"61, "	"1, "	"61, "	"1815.000,"	"1.000,"	"30.000,"	1
"62, "	"1, "	"62, "	"1845.000,"	"1.000,"	"30.000,"	1
"63, "	"1, "	"63, "	"1875.000,"	"1.000,"	"30.000,"	1
"64, "	"1, "	"64, "	"1905.000,"	"1.000,"	"30.000,"	1
"65, "	"1, "	"65, "	"1935.000,"	"1.000,"	"30.000,"	1
"66, "	"1, "	"66, "	"1965.000,"	"1.000,"	"30.000,"	0
"67, "	"1, "	"67, "	"1995.000,"	"1.000,"	"30.000,"	0
"68, "	"1, "	"68, "	"2025.000,"	"1.000,"	"30.000,"	1
"69, "	"1, "	"69, "	"2055.000,"	"1.000,"	"30.000,"	0
